Date,inventory_id,price,discount,quantity
5/17/2012,B,300,21,187
5/18/2012,B,334,18,227
5/21/2012,A,367,0,217
5/22/2012,A,368,30,248
5/23/2012,B,311,26,210
5/24/2012,B,310,14,171
5/25/2012,B,371,4,203
5/29/2012,C,334,22,154
5/30/2012,A,348,8,162
5/31/2012,C,360,29,183
6/1/2012,B,367,2,248
6/4/2012,A,348,2,179
6/5/2012,A,315,18,190
6/6/2012,A,337,4,181
6/7/2012,A,300,10,218
6/8/2012,C,313,7,243
6/11/2012,C,311,29,192
6/12/2012,B,311,7,202
6/13/2012,A,369,17,224
6/14/2012,B,362,15,214
6/15/2012,B,339,24,246
6/18/2012,A,319,25,163
6/19/2012,C,342,2,202
6/20/2012,C,351,1,231
6/21/2012,C,359,21,204
6/22/2012,B,327,6,219
6/25/2012,B,317,12,234
6/26/2012,B,305,23,238
6/27/2012,A,364,15,193
6/28/2012,B,308,12,237
6/29/2012,A,350,30,168
7/2/2012,C,341,26,230
7/3/2012,A,367,10,179
7/5/2012,C,358,20,165
7/6/2012,B,380,28,239
7/9/2012,C,364,13,156
7/10/2012,A,366,2,233
7/11/2012,A,332,17,166
7/12/2012,C,364,8,203
7/13/2012,B,376,13,212
7/16/2012,A,365,25,160
7/17/2012,B,305,12,219
7/18/2012,A,324,14,160
7/19/2012,A,355,17,234
7/20/2012,A,367,9,162
7/23/2012,A,358,30,219
7/24/2012,C,305,24,202
7/25/2012,A,342,4,186
7/26/2012,C,351,9,228
7/27/2012,A,316,22,244
7/30/2012,C,305,21,239
7/31/2012,B,300,28,178
8/1/2012,C,323,4,246
8/2/2012,B,304,12,245
8/3/2012,C,355,0,231
8/6/2012,B,316,19,156
8/7/2012,A,342,2,250
8/8/2012,A,380,19,166
8/9/2012,C,353,13,231
8/10/2012,A,325,23,165
8/13/2012,A,351,17,162
8/14/2012,B,326,16,199
8/15/2012,A,312,5,162
8/16/2012,A,345,10,160
8/17/2012,C,336,3,187
8/20/2012,C,325,28,194
8/21/2012,A,310,17,229
8/22/2012,B,358,24,217
8/23/2012,B,322,29,172
8/24/2012,B,380,6,178
8/27/2012,A,310,19,209
8/28/2012,B,342,22,161
8/29/2012,C,330,10,227
8/30/2012,A,306,4,233
8/31/2012,C,380,10,172
9/4/2012,C,363,25,172
9/5/2012,A,368,3,210
9/6/2012,A,331,30,178
9/7/2012,B,368,10,154
9/10/2012,B,362,10,165
9/11/2012,B,342,15,154
9/12/2012,A,301,20,211
9/13/2012,A,347,30,172
9/14/2012,A,357,9,241
9/17/2012,A,357,18,182
9/18/2012,C,343,16,243
9/19/2012,B,361,25,181
9/20/2012,B,312,1,178
9/21/2012,A,380,26,181
9/24/2012,C,306,9,204
9/25/2012,A,379,5,248
9/26/2012,C,367,19,205
9/27/2012,A,351,19,242
9/28/2012,B,377,19,152
10/1/2012,A,345,1,170
10/2/2012,C,366,18,164
10/3/2012,B,301,11,155
10/4/2012,C,355,15,229
10/5/2012,A,334,5,169
10/8/2012,B,353,21,237
10/9/2012,A,354,29,229
10/10/2012,C,311,16,167
10/11/2012,C,301,16,235
10/12/2012,B,353,8,165
10/15/2012,A,328,25,151
10/16/2012,C,316,6,211
10/17/2012,A,358,4,240
10/18/2012,C,376,27,150
10/19/2012,C,334,1,228
10/22/2012,C,348,4,166
10/23/2012,B,374,12,250
10/24/2012,B,308,1,228
10/25/2012,C,308,7,188
10/26/2012,B,313,27,165
10/31/2012,B,330,23,186
11/1/2012,C,306,2,243
11/2/2012,B,326,4,150
11/5/2012,B,325,2,170
11/6/2012,B,318,23,184
11/7/2012,B,313,28,153
11/8/2012,A,371,17,158
11/9/2012,B,328,10,177
11/12/2012,B,347,2,178
11/13/2012,A,346,18,186
11/14/2012,A,362,22,152
11/15/2012,B,315,3,200
11/16/2012,C,375,27,196
11/19/2012,C,308,14,180
11/20/2012,B,376,4,205
11/21/2012,C,300,21,249
11/23/2012,B,333,28,230
11/26/2012,A,350,19,156
11/27/2012,A,362,20,196
11/28/2012,A,328,23,204
11/29/2012,A,325,2,202
11/30/2012,C,312,4,203
12/3/2012,C,345,13,182
12/4/2012,A,346,21,208
12/5/2012,B,329,16,240
12/6/2012,B,371,15,165
12/7/2012,B,380,2,171
12/10/2012,C,358,0,232
12/11/2012,A,306,14,203
12/12/2012,B,333,11,196
12/13/2012,A,307,14,211
12/14/2012,A,379,7,200
12/17/2012,A,378,23,200
12/18/2012,A,372,27,226
12/19/2012,C,314,18,234
12/20/2012,A,375,27,215
12/21/2012,C,365,14,222
12/24/2012,B,343,21,193
12/26/2012,C,350,15,205
12/27/2012,B,345,26,164
12/28/2012,B,323,21,225
12/31/2012,A,352,19,221
1/2/2013,C,345,3,193
1/3/2013,B,380,19,188
1/4/2013,A,356,14,152
1/7/2013,C,324,15,243
1/8/2013,A,376,18,154
1/9/2013,B,368,6,212
1/10/2013,A,320,18,231
1/11/2013,C,370,1,199
1/14/2013,B,323,23,155
1/15/2013,A,347,4,208
1/16/2013,B,366,3,219
1/17/2013,A,378,29,242
1/18/2013,B,315,29,211
1/22/2013,C,372,29,224
1/23/2013,B,333,28,222
1/24/2013,B,373,10,223
1/25/2013,C,311,9,205
1/28/2013,A,341,3,248
1/29/2013,B,369,30,243
1/30/2013,B,365,15,230
1/31/2013,C,365,28,191
2/1/2013,A,337,4,222
2/4/2013,C,349,9,209
2/5/2013,C,345,30,152
2/6/2013,C,318,3,244
2/7/2013,B,369,8,244
2/8/2013,C,339,28,231
2/11/2013,C,378,0,183
2/12/2013,B,305,0,204
2/13/2013,C,343,26,184
2/14/2013,B,301,2,192
2/15/2013,B,380,3,161
2/19/2013,C,331,1,178
2/20/2013,B,300,9,174
2/21/2013,A,363,23,239
2/22/2013,A,376,28,178
2/25/2013,B,347,0,178
2/26/2013,A,372,16,192
2/27/2013,B,324,20,214
2/28/2013,A,306,0,193
3/1/2013,B,317,19,243
3/4/2013,A,373,5,209
3/5/2013,B,371,22,218
3/6/2013,B,352,16,238
3/7/2013,B,380,4,179
3/8/2013,B,301,11,228
3/11/2013,A,347,18,217
3/12/2013,B,350,29,247
3/13/2013,B,340,1,225
3/14/2013,C,325,8,246
3/15/2013,B,364,0,247
3/18/2013,B,306,0,156
3/19/2013,B,328,25,162
3/20/2013,C,353,28,154
3/21/2013,B,374,23,241
3/22/2013,A,377,16,212
3/25/2013,C,340,6,250
3/26/2013,C,311,3,189
3/27/2013,A,312,17,171
3/28/2013,B,369,21,222
4/1/2013,A,370,12,240
4/2/2013,B,369,24,232
4/3/2013,A,307,1,221
4/4/2013,B,331,29,200
4/5/2013,A,342,12,242
4/8/2013,C,331,23,216
4/9/2013,B,349,11,232
4/10/2013,B,370,29,245
4/11/2013,B,361,4,170
4/12/2013,C,338,22,151
4/15/2013,A,378,15,214
4/16/2013,B,353,12,204
4/17/2013,C,305,28,205
4/18/2013,B,351,22,217
4/19/2013,A,347,8,220
4/22/2013,B,376,25,209
4/23/2013,B,351,18,196
4/24/2013,A,352,21,211
4/25/2013,B,333,3,207
4/26/2013,C,364,10,155
4/29/2013,B,334,7,178
4/30/2013,A,354,3,194
5/1/2013,B,352,23,180
5/2/2013,A,377,16,215
5/3/2013,A,368,23,201
5/6/2013,A,359,7,224
5/7/2013,A,345,25,248
5/8/2013,B,307,9,197
5/9/2013,B,332,22,211
5/10/2013,C,309,20,180
5/13/2013,A,350,25,242
5/14/2013,A,370,3,182
5/15/2013,C,323,4,170
5/16/2013,B,354,2,157
5/17/2013,A,354,5,207
5/20/2013,C,320,22,241
5/21/2013,A,325,2,174
5/22/2013,B,309,10,236
5/23/2013,A,325,25,152
5/24/2013,A,357,29,196
5/28/2013,C,353,18,205
5/29/2013,C,364,22,239
5/30/2013,A,319,15,166
5/31/2013,B,348,0,155
6/3/2013,A,369,7,241
6/4/2013,A,305,7,155
6/5/2013,B,369,25,186
6/6/2013,B,330,25,193
6/7/2013,C,344,7,170
6/10/2013,A,310,0,189
6/11/2013,C,371,8,240
6/12/2013,C,347,6,230
6/13/2013,A,323,1,158
6/14/2013,B,323,0,202
6/17/2013,A,358,6,176
6/18/2013,A,334,9,201
6/19/2013,C,370,4,216
6/20/2013,B,340,27,230
6/21/2013,B,368,11,210
6/24/2013,A,353,27,162
6/25/2013,B,359,1,224
6/26/2013,B,335,12,158
6/27/2013,C,305,19,158
6/28/2013,C,311,0,151
7/1/2013,C,315,28,249
7/2/2013,C,323,20,176
7/3/2013,A,365,11,242
7/5/2013,C,339,30,243
7/8/2013,C,341,23,200
7/9/2013,C,326,19,231
7/10/2013,A,334,26,246
7/11/2013,B,375,19,184
7/12/2013,B,313,6,242
7/15/2013,B,340,27,159
7/16/2013,B,325,26,180
7/17/2013,A,323,25,205
7/18/2013,C,337,25,244
7/19/2013,A,311,15,247
7/22/2013,C,300,20,166
7/23/2013,A,338,22,193
7/24/2013,C,327,9,190
7/25/2013,A,335,28,195
7/26/2013,B,313,28,164
7/29/2013,B,346,29,235
7/30/2013,B,320,27,185
7/31/2013,C,315,13,229
8/1/2013,C,363,6,241
8/2/2013,B,347,30,218
8/5/2013,B,360,30,223
8/6/2013,C,308,16,236
8/7/2013,C,305,16,203
8/8/2013,A,314,21,231
8/9/2013,B,361,11,198
8/12/2013,C,306,24,242
8/13/2013,C,360,17,188
8/14/2013,A,311,17,200
8/15/2013,A,347,22,207
8/16/2013,C,363,18,151
8/19/2013,B,332,29,242
8/20/2013,A,339,7,175
8/21/2013,C,317,11,193
8/22/2013,B,326,6,205
8/23/2013,B,328,18,196
8/26/2013,B,365,25,246
8/27/2013,A,376,0,157
8/28/2013,C,372,13,186
8/29/2013,C,329,16,203
8/30/2013,B,354,7,166
9/3/2013,A,369,17,182
9/4/2013,C,303,29,208
9/5/2013,B,344,2,241
9/6/2013,B,309,24,180
9/9/2013,A,330,9,182
9/10/2013,C,327,27,192
9/11/2013,A,375,5,224
9/12/2013,B,335,14,172
9/13/2013,C,330,10,243
9/16/2013,C,331,6,201
9/17/2013,B,313,15,233
9/18/2013,B,338,0,198
9/19/2013,B,330,1,160
9/20/2013,A,360,30,162
9/23/2013,C,343,14,207
9/24/2013,B,370,28,192
9/25/2013,A,360,24,175
9/26/2013,B,337,12,178
9/27/2013,C,377,4,214
9/30/2013,C,336,17,208
10/1/2013,B,303,4,151
10/2/2013,C,355,0,224
10/3/2013,C,355,15,197
10/4/2013,A,379,27,216
10/7/2013,A,322,25,237
10/8/2013,C,379,7,211
10/9/2013,A,327,6,185
10/10/2013,A,375,4,213
10/11/2013,A,345,1,164
10/14/2013,B,305,17,155
10/15/2013,C,353,0,182
10/16/2013,C,315,10,166
10/17/2013,C,306,21,160
10/18/2013,C,301,19,250
10/21/2013,B,304,28,185
10/22/2013,C,355,21,200
10/23/2013,C,353,15,185
10/24/2013,A,301,10,249
10/25/2013,B,351,29,181
10/28/2013,C,372,24,222
10/29/2013,B,361,30,211
10/30/2013,A,315,9,158
10/31/2013,C,351,25,250
11/1/2013,A,338,5,189
11/4/2013,B,332,2,151
11/5/2013,A,320,30,241
11/6/2013,B,324,12,165
11/7/2013,C,315,23,183
11/8/2013,C,370,27,193
11/11/2013,A,372,3,164
11/12/2013,B,367,30,224
11/13/2013,B,302,24,190
11/14/2013,C,347,17,212
11/15/2013,A,325,28,216
11/18/2013,B,373,29,214
11/19/2013,A,326,21,216
11/20/2013,B,331,9,220
11/21/2013,C,347,25,157
11/22/2013,B,347,25,159
11/25/2013,A,342,27,237
11/26/2013,A,312,21,203
11/27/2013,A,332,8,194
11/29/2013,B,330,5,219
12/2/2013,A,367,25,157
12/3/2013,B,378,20,212
12/4/2013,B,300,25,212
12/5/2013,C,343,26,220
12/6/2013,C,370,8,167
12/9/2013,C,373,19,216
12/10/2013,B,365,6,162
12/11/2013,B,328,16,248
12/12/2013,A,354,1,177
12/13/2013,C,364,0,226
12/16/2013,A,303,22,203
12/17/2013,A,310,2,219
12/18/2013,C,340,24,228
12/19/2013,B,319,20,200
12/20/2013,A,316,6,220
12/23/2013,A,311,14,196
12/24/2013,C,319,2,219
12/26/2013,C,304,0,205
12/27/2013,B,345,5,156
12/30/2013,B,309,9,235
12/31/2013,C,328,12,182
1/2/2014,A,352,15,217
1/3/2014,B,369,18,230
1/6/2014,B,323,5,247
1/7/2014,C,336,2,216
1/8/2014,A,326,3,232
1/9/2014,B,368,1,215
1/10/2014,B,336,0,208
1/13/2014,C,332,6,203
1/14/2014,B,322,6,192
1/15/2014,A,373,9,193
1/16/2014,C,319,22,203
1/17/2014,B,354,26,249
1/21/2014,A,319,24,248
1/22/2014,B,351,2,236
1/23/2014,C,353,21,174
1/24/2014,B,307,18,234
1/27/2014,A,340,2,228
1/28/2014,A,311,0,203
1/29/2014,B,322,11,164
1/30/2014,A,364,30,231
1/31/2014,B,376,17,220
2/3/2014,C,359,19,231
2/4/2014,A,372,17,213
2/5/2014,A,313,21,152
2/6/2014,C,342,30,239
2/7/2014,A,359,16,165
2/10/2014,B,344,15,216
2/11/2014,A,349,19,244
2/12/2014,A,376,13,158
2/13/2014,A,315,13,191
2/14/2014,C,327,13,227
2/18/2014,C,340,0,242
2/19/2014,B,325,29,155
2/20/2014,C,311,23,246
2/21/2014,A,303,27,183
2/24/2014,C,329,10,235
2/25/2014,A,335,8,211
2/26/2014,B,345,7,183
2/27/2014,B,364,6,230
2/28/2014,A,347,29,174
3/3/2014,C,359,18,182
3/4/2014,A,379,11,193
3/5/2014,C,342,19,163
3/6/2014,B,369,15,238
3/7/2014,C,374,16,240
3/10/2014,B,330,12,190
3/11/2014,B,313,15,198
3/12/2014,B,371,23,179
3/13/2014,B,323,25,236
3/14/2014,C,306,6,237
3/17/2014,C,348,19,203
3/18/2014,A,344,28,234
3/19/2014,B,365,15,204
3/20/2014,C,351,28,220
3/21/2014,C,304,21,160
3/24/2014,A,324,7,219
3/25/2014,C,336,1,210
3/26/2014,B,369,0,227
3/27/2014,B,340,14,178
3/28/2014,A,340,8,188
3/31/2014,B,343,2,182
4/1/2014,A,346,0,158
4/2/2014,C,304,23,240
4/3/2014,C,324,13,181
4/4/2014,C,302,1,246
4/7/2014,B,306,16,232
4/8/2014,C,341,23,233
4/9/2014,A,344,30,242
4/10/2014,B,344,27,164
4/11/2014,C,309,15,198
4/14/2014,B,335,14,208
4/15/2014,B,320,23,227
4/16/2014,B,349,6,237
4/17/2014,B,350,8,190
4/21/2014,B,343,21,205
4/22/2014,B,333,10,213
4/23/2014,B,368,22,180
4/24/2014,A,360,4,248
4/25/2014,A,370,7,215
4/28/2014,B,335,12,245
4/29/2014,A,339,27,219
4/30/2014,B,369,13,190
5/1/2014,A,352,24,187
5/2/2014,B,380,8,246
5/5/2014,A,322,23,166
5/6/2014,A,321,15,185
5/7/2014,C,351,19,157
5/8/2014,B,337,14,236
5/9/2014,A,366,25,209
5/12/2014,A,364,25,184
5/13/2014,B,346,4,183
5/14/2014,A,310,7,193
5/15/2014,A,347,3,154
5/16/2014,B,331,26,180
5/19/2014,B,313,0,240
5/20/2014,A,362,14,175
5/21/2014,B,312,15,203
5/22/2014,C,340,25,201
5/23/2014,C,336,13,206
5/27/2014,C,359,3,249
5/28/2014,C,343,10,238
5/29/2014,C,354,7,197
5/30/2014,A,310,24,195
6/2/2014,B,317,4,160
6/3/2014,A,302,10,249
6/4/2014,B,333,5,245
6/5/2014,A,376,26,182
6/6/2014,A,379,22,163
6/9/2014,C,310,21,182
6/10/2014,B,308,17,246
6/11/2014,B,347,3,237
6/12/2014,A,309,16,191
6/13/2014,A,326,1,166
6/16/2014,B,326,22,208
6/17/2014,A,367,1,173
6/18/2014,B,355,15,185
6/19/2014,C,377,22,154
6/20/2014,C,319,6,150
6/23/2014,B,380,8,174
6/24/2014,A,341,2,221
6/25/2014,A,357,20,233
6/26/2014,B,303,18,203
6/27/2014,A,368,24,170
6/30/2014,C,345,14,211
7/1/2014,A,354,27,186
7/2/2014,A,328,28,175
7/3/2014,B,332,1,228
7/7/2014,B,310,15,208
7/8/2014,C,330,10,188
7/9/2014,A,333,1,168
7/10/2014,B,327,18,242
7/11/2014,B,378,3,161
7/14/2014,A,334,20,201
7/15/2014,B,351,3,199
7/16/2014,C,356,14,211
7/17/2014,A,368,17,218
7/18/2014,C,329,0,188
7/21/2014,B,353,14,216
7/22/2014,C,352,21,164
7/23/2014,C,334,2,167
7/24/2014,A,308,10,172
7/25/2014,A,328,30,203
7/28/2014,C,325,8,213
7/29/2014,A,368,0,227
7/30/2014,C,344,8,196
7/31/2014,A,347,20,225
8/1/2014,B,370,6,190
8/4/2014,C,379,26,216
8/5/2014,B,322,6,169
8/6/2014,A,307,24,221
8/7/2014,C,369,24,166
8/8/2014,B,375,24,159
8/11/2014,B,328,11,191
8/12/2014,A,316,12,168
8/13/2014,A,353,17,226
8/14/2014,A,313,14,156
8/15/2014,B,307,23,185
8/18/2014,B,362,29,246
8/19/2014,B,316,21,204
8/20/2014,A,304,8,250
8/21/2014,A,336,14,227
8/22/2014,B,374,6,167
8/25/2014,B,330,3,233
8/26/2014,C,378,24,215
8/27/2014,A,347,22,215
8/28/2014,A,337,7,244
8/29/2014,B,311,27,172
9/2/2014,A,356,6,244
9/3/2014,A,330,0,246
9/4/2014,A,308,25,209
9/5/2014,A,347,19,161
9/8/2014,A,354,22,219
9/9/2014,B,364,19,246
9/10/2014,C,369,21,179
9/11/2014,C,326,3,174
9/12/2014,A,363,20,211
9/15/2014,A,323,9,217
9/16/2014,A,314,30,232
9/17/2014,A,312,24,165
9/18/2014,B,330,16,191
9/19/2014,A,350,17,249
9/22/2014,B,358,29,171
9/23/2014,C,329,8,160
9/24/2014,B,377,17,210
9/25/2014,B,303,20,250
9/26/2014,C,316,13,222
9/29/2014,A,368,7,178
9/30/2014,B,304,20,207
10/1/2014,B,365,20,210
10/2/2014,C,319,12,192
10/3/2014,B,307,29,218
10/6/2014,B,352,18,224
10/7/2014,C,333,20,155
10/8/2014,B,353,28,161
10/9/2014,C,369,7,234
10/10/2014,B,366,4,226
10/13/2014,B,378,20,246
10/14/2014,B,337,28,162
10/15/2014,B,340,11,211
10/16/2014,B,376,29,211
10/17/2014,A,368,10,186
10/20/2014,C,307,13,235
10/21/2014,A,378,29,208
10/22/2014,A,305,12,183
10/23/2014,B,332,2,174
10/24/2014,C,340,19,158
10/27/2014,A,358,20,246
10/28/2014,C,317,29,241
10/29/2014,A,361,24,193
10/30/2014,B,323,1,176
10/31/2014,C,354,19,214
11/3/2014,A,317,10,158
11/4/2014,A,336,3,162
11/5/2014,C,374,14,166
11/6/2014,A,330,7,217
11/7/2014,A,371,4,199
11/10/2014,A,376,18,173
11/11/2014,B,347,3,238
11/12/2014,C,336,26,177
11/13/2014,A,353,14,179
11/14/2014,C,351,7,208
11/17/2014,C,367,16,235
11/18/2014,C,333,4,159
11/19/2014,C,330,0,170
11/20/2014,B,327,20,176
11/21/2014,B,361,11,242
11/24/2014,C,349,17,209
11/25/2014,A,346,16,160
11/26/2014,A,303,28,188
11/28/2014,B,315,4,177
12/1/2014,B,329,6,152
12/2/2014,C,369,22,166
12/3/2014,A,344,4,150
12/4/2014,B,364,29,234
12/5/2014,C,319,16,188
12/8/2014,B,308,19,245
12/9/2014,A,368,24,233
12/10/2014,A,317,7,171
12/11/2014,A,350,4,178
12/12/2014,B,360,23,244
12/15/2014,C,370,9,219
12/16/2014,C,334,7,162
12/17/2014,A,374,26,242
12/18/2014,B,371,12,197
12/19/2014,A,351,15,237
12/22/2014,A,363,18,249
12/23/2014,C,359,11,237
12/24/2014,A,367,10,191
12/26/2014,C,354,29,154
12/29/2014,C,363,29,183
12/30/2014,B,358,29,248
12/31/2014,C,306,10,153
1/2/2015,C,377,2,180
1/5/2015,A,303,6,177
1/6/2015,A,335,23,189
1/7/2015,A,336,10,246
1/8/2015,A,367,28,230
1/9/2015,B,357,16,203
1/12/2015,C,327,27,196
1/13/2015,A,317,11,223
1/14/2015,A,357,28,171
1/15/2015,A,308,6,176
1/16/2015,C,328,28,221
1/20/2015,B,327,20,155
1/21/2015,A,370,1,156
1/22/2015,C,356,21,172
1/23/2015,A,308,2,180
1/26/2015,C,310,18,181
1/27/2015,A,316,23,178
1/28/2015,B,335,11,237
1/29/2015,B,372,0,180
1/30/2015,C,370,24,176
2/2/2015,B,336,21,224
2/3/2015,A,361,0,183
2/4/2015,B,325,1,152
2/5/2015,B,322,0,239
2/6/2015,C,346,6,197
2/9/2015,A,347,22,158
2/10/2015,C,351,16,248
2/11/2015,C,378,22,150
2/12/2015,A,380,2,203
2/13/2015,B,318,8,230
2/17/2015,A,370,17,164
2/18/2015,C,356,24,232
2/19/2015,A,378,7,216
2/20/2015,B,347,17,204
2/23/2015,A,324,17,248
2/24/2015,B,308,13,156
2/25/2015,C,351,4,197
2/26/2015,C,337,29,220
2/27/2015,B,364,17,170
3/2/2015,B,366,5,158
3/3/2015,A,322,14,176
3/4/2015,C,324,17,156
3/5/2015,C,327,9,192
3/6/2015,A,304,9,237
3/9/2015,B,372,8,182
3/10/2015,C,359,19,215
3/11/2015,B,355,12,188
3/12/2015,B,313,23,240
3/13/2015,B,312,6,171
3/16/2015,C,311,29,175
3/17/2015,C,374,5,192
3/18/2015,B,332,4,177
3/19/2015,C,352,14,216
3/20/2015,C,323,10,189
3/23/2015,A,363,28,195
3/24/2015,C,316,21,244
3/25/2015,B,350,22,176
3/26/2015,C,314,30,204
3/27/2015,C,346,8,250
3/30/2015,C,349,23,190
3/31/2015,B,347,7,220
4/1/2015,C,354,17,157
4/2/2015,C,368,9,233
4/6/2015,A,367,2,241
4/7/2015,B,336,18,151
4/8/2015,A,318,24,187
4/9/2015,B,347,5,167
4/10/2015,C,334,7,172
4/13/2015,B,359,29,211
4/14/2015,C,371,10,227
4/15/2015,C,339,12,157
4/16/2015,C,322,10,209
4/17/2015,A,327,17,231
4/20/2015,A,368,3,242
4/21/2015,C,374,17,167
4/22/2015,C,355,14,188
4/23/2015,B,350,30,240
4/24/2015,C,330,25,183
4/27/2015,C,372,0,180
4/28/2015,B,351,15,185
4/29/2015,C,364,16,167
4/30/2015,A,362,30,227
5/1/2015,C,337,20,180
5/4/2015,A,342,15,171
5/5/2015,C,317,14,172
5/6/2015,A,333,9,180
5/7/2015,A,356,28,170
5/8/2015,A,350,6,156
5/11/2015,B,333,30,230
5/12/2015,A,371,2,212
5/13/2015,A,303,13,238
5/14/2015,A,362,23,175
5/15/2015,C,335,17,156
5/18/2015,A,357,15,240
5/19/2015,B,371,23,175
5/20/2015,A,312,19,217
5/21/2015,C,314,7,190
5/22/2015,A,377,5,233
5/26/2015,A,361,24,224
5/27/2015,B,323,0,194
5/28/2015,B,350,27,244
5/29/2015,A,312,23,233
6/1/2015,A,301,17,236
6/2/2015,C,332,6,182
6/3/2015,B,321,26,242
6/4/2015,A,313,11,221
6/5/2015,A,378,1,222
6/8/2015,C,360,15,183
6/9/2015,B,340,9,155
6/10/2015,C,346,13,247
6/11/2015,A,334,12,231
6/12/2015,A,334,23,165
6/15/2015,B,305,18,182
6/16/2015,B,375,15,165
6/17/2015,A,311,19,187
6/18/2015,B,351,7,238
6/19/2015,C,360,28,218
6/22/2015,B,379,22,177
6/23/2015,C,358,3,222
6/24/2015,C,308,6,244
6/25/2015,A,346,29,203
6/26/2015,A,333,23,201
6/29/2015,B,308,6,151
6/30/2015,A,349,11,157
7/1/2015,B,308,0,171
7/2/2015,C,312,15,224
7/6/2015,A,357,9,245
7/7/2015,B,366,20,201
7/8/2015,A,350,28,195
7/9/2015,A,362,20,157
7/10/2015,A,377,4,202
7/13/2015,A,311,16,232
7/14/2015,C,326,17,159
7/15/2015,A,314,9,239
7/16/2015,B,332,16,193
7/17/2015,C,304,30,181
7/20/2015,B,302,4,158
7/21/2015,C,322,0,203
7/22/2015,A,301,19,239
7/23/2015,C,304,1,163
7/24/2015,A,349,2,212
7/27/2015,B,342,20,167
7/28/2015,C,323,17,242
7/29/2015,C,351,23,208
7/30/2015,B,347,9,230
7/31/2015,A,347,27,226
8/3/2015,A,305,13,160
8/4/2015,A,374,19,167
8/5/2015,C,379,3,174
8/6/2015,B,369,18,238
8/7/2015,C,337,8,247
8/10/2015,B,361,12,243
8/11/2015,C,308,25,162
8/12/2015,B,303,14,170
8/13/2015,C,342,6,151
8/14/2015,A,311,0,247
8/17/2015,A,366,26,154
8/18/2015,A,357,13,192
8/19/2015,C,345,19,242
8/20/2015,A,345,18,156
8/21/2015,C,375,25,174
8/24/2015,B,303,15,191
8/25/2015,C,343,15,235
8/26/2015,A,324,6,250
8/27/2015,A,353,23,211
8/28/2015,A,375,9,150
8/31/2015,B,341,8,166
9/1/2015,A,362,6,242
9/2/2015,B,367,25,234
9/3/2015,A,353,16,202
9/4/2015,A,309,24,221
9/8/2015,A,300,0,238
9/9/2015,A,300,7,216
9/10/2015,C,354,13,159
9/11/2015,A,337,6,215
9/14/2015,C,338,3,207
